timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1681813400709,230,/actions/Catalog.action-57-15,200,,JpetReg_Dynamic 1-1,bin,true,,36386,523,3,3,https://petstore.octoperf.com/images/splash.gif,229,0,0
1681813397352,3587,01_Launch,200,"Number of samples in transaction : 1, number of failing samples : 0",JpetReg_Dynamic 1-1,,true,,59394,8356,3,3,null,235,1,0
1681813400874,284,/actions/Account.action-85,200,,JpetReg_Dynamic 1-3,text,true,,5811,670,3,3,https://petstore.octoperf.com/actions/Account.action?newAccountForm=,284,0,0
1681813400874,284,/actions/Account.action-85-0,200,,JpetReg_Dynamic 1-3,text,true,,5811,670,3,3,https://petstore.octoperf.com/actions/Account.action?newAccountForm=,284,0,0
1681813400873,284,03_ClickOnRegisterNow,200,"Number of samples in transaction : 1, number of failing samples : 0",JpetReg_Dynamic 1-3,,true,,5811,670,3,3,null,284,3,0
1681813400940,228,/actions/Account.action;jsessionid=DB214B0BB74BFD72B29CB3683A750FA1-81,200,,JpetReg_Dynamic 1-1,text,true,,3851,654,3,3,https://petstore.octoperf.com/actions/Account.action;jsessionid=675C978E5237E891824A49F8D043BEF3?signonForm=,228,0,0
1681813400940,228,/actions/Account.action;jsessionid=DB214B0BB74BFD72B29CB3683A750FA1-81-0,200,,JpetReg_Dynamic 1-1,text,true,,3851,654,3,3,https://petstore.octoperf.com/actions/Account.action;jsessionid=675C978E5237E891824A49F8D043BEF3?signonForm=,228,0,0
1681813400940,228,02_ClickOnSignIn,200,"Number of samples in transaction : 1, number of failing samples : 0",JpetReg_Dynamic 1-1,,true,,3851,654,3,3,null,228,1,0
1681813401170,240,/actions/Account.action-85,200,,JpetReg_Dynamic 1-1,text,true,,5809,670,3,3,https://petstore.octoperf.com/actions/Account.action?newAccountForm=,240,0,0
1681813401170,240,/actions/Account.action-85-0,200,,JpetReg_Dynamic 1-1,text,true,,5809,670,3,3,https://petstore.octoperf.com/actions/Account.action?newAccountForm=,240,0,0
1681813401170,240,03_ClickOnRegisterNow,200,"Number of samples in transaction : 1, number of failing samples : 0",JpetReg_Dynamic 1-1,,true,,5809,670,3,3,null,240,3,0
1681813397836,3609,/actions/Catalog.action-57,200,,JpetReg_Dynamic 1-2,text,true,,59394,8356,3,3,https://petstore.octoperf.com/actions/Catalog.action,237,0,0
1681813397836,237,/actions/Catalog.action-57-0,200,,JpetReg_Dynamic 1-2,text,true,,5419,475,3,3,https://petstore.octoperf.com/actions/Catalog.action,237,0,0
1681813398073,221,/actions/Catalog.action-57-1,200,,JpetReg_Dynamic 1-2,text,true,,5966,523,3,3,https://petstore.octoperf.com/css/jpetstore.css,221,0,0
1681813398296,220,/actions/Catalog.action-57-2,200,,JpetReg_Dynamic 1-2,bin,true,,4095,528,3,3,https://petstore.octoperf.com/images/logo-topbar.gif,220,0,0
1681813398517,241,/actions/Catalog.action-57-3,200,,JpetReg_Dynamic 1-2,bin,true,,379,521,3,3,https://petstore.octoperf.com/images/cart.gif,241,0,0
1681813398759,220,/actions/Catalog.action-57-4,200,,JpetReg_Dynamic 1-2,bin,true,,329,526,3,3,https://petstore.octoperf.com/images/separator.gif,220,0,0
1681813398979,222,/actions/Catalog.action-57-5,200,,JpetReg_Dynamic 1-2,bin,true,,556,524,3,3,https://petstore.octoperf.com/images/sm_fish.gif,222,0,0
1681813399202,228,/actions/Catalog.action-57-6,200,,JpetReg_Dynamic 1-2,bin,true,,591,524,3,3,https://petstore.octoperf.com/images/sm_dogs.gif,228,0,0
1681813399431,220,/actions/Catalog.action-57-7,200,,JpetReg_Dynamic 1-2,bin,true,,683,528,3,3,https://petstore.octoperf.com/images/sm_reptiles.gif,220,0,0
1681813399651,230,/actions/Catalog.action-57-8,200,,JpetReg_Dynamic 1-2,bin,true,,574,524,3,3,https://petstore.octoperf.com/images/sm_cats.gif,230,0,0
1681813399882,215,/actions/Catalog.action-57-9,200,,JpetReg_Dynamic 1-2,bin,true,,536,525,3,3,https://petstore.octoperf.com/images/sm_birds.gif,215,0,0
1681813400098,228,/actions/Catalog.action-57-10,200,,JpetReg_Dynamic 1-2,bin,true,,724,526,3,3,https://petstore.octoperf.com/images/fish_icon.gif,228,0,0
1681813400326,220,/actions/Catalog.action-57-11,200,,JpetReg_Dynamic 1-2,bin,true,,753,526,3,3,https://petstore.octoperf.com/images/dogs_icon.gif,219,0,0
1681813400546,229,/actions/Catalog.action-57-12,200,,JpetReg_Dynamic 1-2,bin,true,,693,526,3,3,https://petstore.octoperf.com/images/cats_icon.gif,229,0,0
1681813400776,219,/actions/Catalog.action-57-13,200,,JpetReg_Dynamic 1-2,bin,true,,954,530,3,3,https://petstore.octoperf.com/images/reptiles_icon.gif,219,0,0
